"MD Type","MD Field Name - Plain Text","MD Field Name - JSON","Generated by (who)","Auto / manual","Description","Field Format"
"Asset","File role","asset.fileRole","NYPL","Automated","Designated use of the file: pm = preservation master; em = edit master; sc = service copy","string"
"Asset","Filename (reference)","asset.referenceFilename","NYPL","Automated","Name of the file described by the metadata","text"
"Asset","Schema Version","asset.schemaVersion","NYPL","Automated","Version of the metadata schema used","numeric"
"Bibliographic","Access notes","bibliographic.accessNotes","NYPL","Manual","Specifies the level of access, if known. Currently used for Brighthouse links as well. ","free text"
"Bibliographic","Barcode","bibliographic.barcode","NYPL (cataloger)","Manual","NYPL barcode","33433#########"
"Bibliographic","Catalog bnumber","bibliographic.catalogBNumber","NYPL (cataloger)","Manual","Catalog bnumber","b########"
"Bibliographic","Classmark","bibliographic.classmark","NYPL (cataloger)","Manual","NYPL classmark ","string"
"Bibliographic","CMS Collection ID","bibliographic.cmsCollectionID","NYPL (cataloger)","Manual","Unique ID generated by CMS to specify a discrete collection of materials.","string"
"Bibliographic","CMS Item ID","bibliographic.cmsItemID","NYPL (cataloger)","Manual","Unique ID generated by the Archives' CMS","######"
"Bibliographic","Content notes","bibliographic.contentNotes","NYPL / Digitization lab","Manual","Used by NYPL staff to note if bibliographic information differs from the content on the media","free text"
"Bibliographic","Dance Former classmark","bibliographic.formerClassmark","NYPL (cataloger)","Manual","[For Dance materials] Former Classmark only relates to titles that were in the NYPL catalog before digitization, and thus assigned a new DF classmark that indicates the viewing copy for that title is now a streaming digital file. The former classmark is the title's classmark prior to digitization (classmark reflects the viewing copy, not the original media). ","string"
"Bibliographic","Date","bibliographic.date","NYPL (cataloger)","Manual","Date, if known. May change following digitization (when able to view/listen).","free text"
"Bibliographic","Division Code","bibliographic.divisionCode","NYPL (cataloger)","Manual","Three-letter code used in the MARC record specifying NYPL location; used in generating media file names","string"
"Bibliographic","MSS ID","bibliographic.mssID","NYPL (cataloger)","Manual","Archival component identifier","#####"
"Bibliographic","non-CMS Item ID","bibliographic.nonCMSItemID","NYPL (cataloger)","Manual","Unique ID generated by curatorial unit","string"
"Bibliographic","Primary ID","bibliographic.primaryID","NYPL","Automated","Unique ID for a physical item, taken from the CMS Item ID","string"
"Bibliographic","Project-code","bibliographic.projectCode","NYPL (cataloger)","Manual","Project or funding information pulled from CMS. This is not the PAMI project code.","string"
"Bibliographic","Title","bibliographic.title","NYPL (cataloger)","Manual","Title, if known. May change following digitization (when able to view/listen).","free text"
"Bibliographic","Vernacular Division Code","bibliographic.vernacularDivisionCode","NYPL (cataloger)","Manual","Abbreviated Division title, "DAN"","string"
"Technical (file)","Audio codec","technical.audioCodec","Digitization lab","Automated","audio codec - pcm","string"
"Technical (file)","Date created","technical.dateCreated","Digitization lab","Automated","Date file was created","yyyy-mm-dd"
"Technical (file)","Duration, hh:mm:ss.sss","technical.durationHuman","Digitization lab","Automated","Quick-reference / human readable duration in hh:mm:ss.sss. For optical video, duration is total of all title sets on disc.","hh:mm:ss.sss"
"Technical (file)","Duration milliseconds measure","technical.durationMilli.measure","Digitization lab","Automated","Machine-readable duration in milliseconds. For optical video, duration is total of all title sets on disc.","numeric"
"Technical (file)","Duration milliseconds unit","technical.durationMilli.unit","Digitization lab","Automated","unit for milliseconds","string"
"Technical (file)","Extension","technical.extension","Digitization lab","Automated","","string"
"Technical (file)","File format (wrapper)","technical.fileFormat","Digitization lab","Automated","wrapper","string"
"Technical (file)","Filename","technical.filename","Digitization lab","Automated","Actual name of file","string"
"Technical (file)","File size measure","technical.fileSize.measure","Digitization lab","Automated","file size in bytes","numeric"
"Technical (file)","File size unit","technical.fileSize.unit","Digitization lab","Automated","unit for file size","string"
"Technical (file)","Audio/video signal condition notes","technical.signalNotes","Digitization lab","Manual","[do not include unless there are notes]","free text"
