"Controlled Term","Human Readable","Deprecated Term"
"audio grooved disc","Audio Grooved Disc",
"audio grooved cylinder","Audio Grooved Cyclinder",
"audio optical disc","Audio Optical Disc",
"audio reel analog","Audio Reel Analog","audio reel"
"audio reel digital","Audio Reel Digital",
"audio cassette analog","Audio Cassette Analog",
"audio cassette digital","Audio Cassette Digital",
"audio magnetic wire","Audio Wire",
"video optical disc","Video Optical Disc",
"video cassette digital","Video Cassette Digital",
"video cassette analog","Video Cassette Analog","video cassette"
"video reel","Video Reel",
