id,skos:prefLabel
itoamc1,Abolitionists.
itoamc2,Accountants.
itoamc3,Actors.
itoamc4,Actresses.
itoamc5,Actuaries.
itoamc6,Administrators.
itoamc7,Adventurers.
itoamc8,Advertisers.
itoamc9,Advertising executives.
itoamc10,Aeronauts.
itoamc11,Aerospace engineers.
itoamc12,Agents.
itoamc13,Agriculturists.
itoamc14,Air Force officers.
itoamc15,Aircraft designers.
itoamc16,Aircraft manufacturers.
itoamc17,Airline executives.
itoamc18,Airplane manufacturers.
itoamc19,Alchemists.
itoamc20,Ambassadors.
itoamc21,American loyalists.
itoamc22,Analysands.
itoamc23,Anatomists.
itoamc24,Anesthesiologists.
itoamc25,Animal rights activists.
itoamc26,Anthologists.
itoamc27,Anthropologists.
itoamc28,Antiquarians.
itoamc29,Archaeologists.
itoamc30,Architects.
itoamc31,Architectural historians.
itoamc32,Archivists.
itoamc33,Armaments experts.
itoamc34,Armorers.
itoamc35,Army Air Corps officers.
itoamc36,Army clerks.
itoamc37,Army officers.
itoamc38,Army paymasters.
itoamc39,Army prosecutors.
itoamc40,Army surgeons.
itoamc41,Art collectors.
itoamc42,Art connoisseurs.
itoamc43,Art consultants.
itoamc44,Art critics.
itoamc45,Art dealers.
itoamc46,Art directors.
itoamc47,Art historians.
itoamc48,Artists.
itoamc49,Assassins.
itoamc50,Astronomers.
itoamc51,Astrophysicists.
itoamc52,Atomic energy commissioners.
itoamc53,Attorneys general.
itoamc54,Authors.
itoamc55,Aviators.
itoamc56,Balloonists.
itoamc57,Bankers.
itoamc58,Baseball executives.
itoamc59,Baseball managers.
itoamc60,Baseball players.
itoamc61,Bibliographers.
itoamc62,Bibliophiles.
itoamc63,Biochemists.
itoamc64,Biographers.
itoamc65,Biologists.
itoamc66,Biophysicists.
itoamc67,Biotechnologists.
itoamc68,Blacksmiths.
itoamc69,Boatswains.
itoamc70,Book designers.
itoamc71,Bookbinders.
itoamc72,Booksellers.
itoamc73,Botanists
itoamc74,Brickmakers.
itoamc75,Broadcast executives.
itoamc76,Brokers.
itoamc77,Builders.
itoamc78,Businessmen.
itoamc79,Businesswomen.
itoamc80,Cabinet officers (State government).
itoamc81,Cabinet officers.
itoamc82,Cameramen.
itoamc83,Campaign workers.
itoamc84,Canal officials.
itoamc85,Cannon makers.
itoamc86,Capitalists.
itoamc87,Capitol pages.
itoamc88,Carpenters.
itoamc89,Cartographers.
itoamc90,Cartoonists.
itoamc91,Chancellors.
itoamc92,"Chaplains, Military."
itoamc93,"Chaplains, U.S. Senate."
itoamc94,Chaplains.
itoamc95,Chauffeurs.
itoamc96,Chemical engineers.
itoamc97,Chemists.
itoamc98,Chess players.
itoamc99,Child psychologists.
itoamc100,Cinematographers.
itoamc101,Circus owners.
itoamc102,Civic leaders.
itoamc103,Civil engineers.
itoamc104,Civil libertarians.
itoamc105,Civil rights activists.
itoamc106,Civil rights leaders.
itoamc107,Civil servants.
itoamc108,Classicists.
itoamc109,Clergy.
itoamc110,Clerks.
itoamc111,Clerks of court.
itoamc112,"Clerks, U.S. Army."
itoamc113,"Clerks, U.S. House of Representatives."
itoamc114,"Clerks, U.S. Supreme Court."
itoamc115,Clubwomen.
itoamc116,"Collectors, Autograph."
itoamc117,Collectors.
itoamc118,College administrators.
itoamc119,College presidents.
itoamc120,Colonial administrators.
itoamc121,Colonial agents.
itoamc122,Colonial officials.
itoamc123,Colonists.
itoamc124,Colonizers.
itoamc125,Comedians.
itoamc126,Commentators.
itoamc127,Commercial agents.
itoamc128,Communists.
itoamc129,Compilers.
itoamc130,Composers.
itoamc131,Computer scientists.
itoamc132,Conquerors.
itoamc133,Conservationists.
itoamc134,Conspirators.
itoamc135,Consuls.
itoamc136,Consultants.
itoamc137,Consulting engineers.
itoamc138,Contractors.
itoamc139,Cooks.
itoamc140,Coopers.
itoamc141,Coppersmiths.
itoamc142,County clerks.
itoamc143,Critics.
itoamc144,Curators.
itoamc145,Customs agents.
itoamc146,Customs inspectors.
itoamc147,Dancers.
itoamc148,Deacons.
itoamc149,"Delegates, U.S. Continental Congress."
