id,skos:notation,skos:prefLabel,nypl:locationType,nypl:actualLocation,dcterms:isPartOf,nypl:owner
mai82,mai82,SASB M1 - Periodicals and Microforms Rm 100,Research,Schwarzman Building - Periodicals and Microforms Rm 100,ma,1000
mag82,mag82,SASB M1 - Milstein Division Rm 121,Research,Schwarzman Building - Milstein Division Rm 121,ma,1105
map82,map82,SASB M1 - Map Division - Rm 117,Research,Schwarzman Building - Map Division - Rm 117,ma,1106
mal82,mal82,SASB M1 - General Research - Room 315,Research,Schwarzman Building - Main Reading Room 315,ma,1000
maf82,maf82,SASB M1 - Dorot Jewish Division Rm 111,Research,Schwarzman Building - Dorot Jewish Division Rm 111,ma,1103
mab82,mab82,SASB M1 - Art & Architecture Rm 300,Research,Schwarzman Building - Art & Architecture Rm 300 (BPSE),ma,1110
mas82,mas82,SASB M1 - Art & Architecture Rm 300,Research,Schwarzman Building - Art & Architecture Rm 300,ma,1110
rcmg9,rcmg9,SASB LHG--Offsite--Restricted,Research,SASB LHG--Offsite--Restricted,rc,1000
qcmf9,qcmf9,SASB Jewish--Offsite--Restricted,Research,SASB Jewish--Offsite--Restricted,qc,1103
rcmf9,rcmf9,SASB Jewish--Offsite--Restricted,Research,SASB Jewish--Offsite--Restricted,rc,1103
qcmb9,qcmb9,SASB Art--Offsite--Restricted,Research,SASB Art--Offsite--Restricted,qc,1110
rcmb9,rcmb9,SASB Art--Offsite--Restricted,Research,SASB Art--Offsite--Restricted,rc,1110
maj03,maj03,SASB (Children's Non-Circulating) - Main Reading Room 315,Research,Schwarzman Building Children's Non-Circulating - Main Reading Room 315,ma,1126
maj0y,maj0y,SASB (Children's Center at 42nd St.) - Young Reader Rm 84,Research,Schwarzman Building (Children's Center at 42nd St.) - Young Reader Rm 84,ma,1126
maj0l,maj0l,SASB (Children's Center at 42nd St.) - World Languages Rm 84,Research,Schwarzman Building (Children's Center at 42nd St.) - World Languages Rm 84,ma,1126
maj01,maj01,SASB (Children's Center at 42nd St.) - Reference Rm 84,Research,Schwarzman Building (Children's Center at 42nd St.) - Reference Rm 84,ma,1126
majr,majr,SASB (Children's Center at 42nd St.) - Reference Rm 84,Research,Schwarzman Building (Children's Center at 42nd St.) - Reference Rm 84,ma,1126
maj0i,maj0i,SASB (Children's Center at 42nd St.) - Picture Book Rm 84,Research,Schwarzman Building (Children's Center at 42nd St.) - Picture Book Rm 84,ma,1126
maj0v,maj0v,SASB (Children's Center at 42nd St.) - Non-Print Media Rm 84,Research,Schwarzman Building (Children's Center at 42nd St.) - Non-Print Media Rm 84,ma,1126
maj0n,maj0n,SASB (Children's Center at 42nd St.) - Non-Fiction Rm 84,Research,Schwarzman Building (Children's Center at 42nd St.) - Non-Fiction Rm 84,ma,1126
maj0h,maj0h,SASB (Children's Center at 42nd St.) - Holiday Book Rm 84,Research,Schwarzman Building (Children's Center at 42nd St.) - Holiday Book Rm 84,ma,1126
maj0f,maj0f,SASB (Children's Center at 42nd St.) - Fiction Rm 84,Research,Schwarzman Building (Children's Center at 42nd St.) - Fiction Rm 84,ma,1126
maj0t,maj0t,SASB (Children's Center at 42nd St.) - Fairy Tale Rm 84,Research,Schwarzman Building (Children's Center at 42nd St.) - Fairy Tale Rm 84,ma,1126
maj0a,maj0a,SASB (Children's Center at 42nd St.) - Easy Book Rm 84,Research,Schwarzman Building (Children's Center at 42nd St.) - Easy Book Rm 84,ma,1126
malw1,malw1,SASB - Wertheim Study Rm 228W - Reference,Research,Schwarzman Building - Wertheim Study Rm 228W - Reference,ma,1000
malw,malw,SASB - Wertheim Scholar Room,Research,SASB - Wertheim Scholar Room,ma,1000
matel,matel,SASB - Telephone Reference,Research,Schwarzman Building - Telephone Reference,ma,1000
maln1,maln1,SASB - Shoichi Noma Global Studies Rm 219 - Reference,Research,Schwarzman Building - Shoichi Noma Global Studies Rm 219 - Reference,ma,1000
mal,mal,SASB - Service Desk Rm 315,Research,Schwarzman Building - Main Reading Room 315,ma,1000
Mar-92,Mar-92,SASB - Rare Books Division - Room 324,Research,,Ma,1108
mar,mar,SASB - Rare Book Collection Rm 328,Research,Schwarzman Building - Rare Book Collection Rm 328,ma,1108
Mar-62,Mar-62,SASB - Rare Book Collection Rm 328,Research,Schwarzman Building - Rare Book Collection Rm 328,Ma,1108
Mar-82,Mar-82,SASB - Rare Book Collection Rm 328,Research,Schwarzman Building - Rare Book Collection Rm 328,Ma,1108
mard2,mard2,SASB - Rare Book Collection Rm 328,Research,Schwarzman Building - Rare Book Collection Rm 328,ma,1108
marr2,marr2,SASB - Rare Book Collection Rm 328,Research,Schwarzman Building - Rare Book Collection Rm 328,ma,1108
max82,max82,SASB - Printing Masters,Research,Schwarzman Building - Printing Masters,ma,1000
mau,mau,SASB - Print Collection Rm 308,Research,Schwarzman Building - Print Collection Rm 308,ma,1112
mauu2,mauu2,SASB - Print Collection Rm 308,Research,Schwarzman Building - Print Collection Rm 308,ma,1112
mauu1,mauu1,SASB - Print Collection Reference Rm 308,Research,Schwarzman Building - Print Collection Reference Rm 308,ma,1112
mas,mas,SASB - Photography Collection Rm 308,Research,Schwarzman Building - Photography Collection Rm 308,ma,1111
masb2,masb2,SASB - Photography Collection Rm 308,Research,Schwarzman Building - Photography Collection Rm 308,ma,1111
mass2,mass2,SASB - Photography Collection Rm 308,Research,Schwarzman Building - Photography Collection Rm 308,ma,1111
masu2,masu2,SASB - Photography Collection Rm 308,Research,Schwarzman Building - Photography Collection Rm 308,ma,1111
maq,maq,SASB - Pforzheimer Collection Rm 319,Research,Schwarzman Building - Pforzheimer Collection Rm 319,ma,1102
maqq2,maqq2,SASB - Pforzheimer Collection Rm 319,Research,Schwarzman Building - Pforzheimer Collection Rm 319,ma,1102
mai,mai,SASB - Periodicals and Microforms Rm 100,Research,Schwarzman Building - Periodicals and Microforms Rm 100,ma,1000
mai83,mai83,SASB - Periodicals and Microforms Rm 100,Research,Schwarzman Building - Periodicals and Microforms Rm 100,ma,1000
mai87,mai87,SASB - Periodicals and Microforms Rm 100,Research,Schwarzman Building - Periodicals and Microforms Rm 100,ma,1000
maii1,maii1,SASB - Periodicals and Microforms Rm 100,Research,Schwarzman Building - Periodicals and Microforms Reference Rm 100,ma,1000
maii2,maii2,SASB - Periodicals and Microforms Rm 100,Research,Schwarzman Building - Periodicals and Microforms Rm 100,ma,1000
maii3,maii3,SASB - Periodicals and Microforms Rm 100,Research,Schwarzman Building - Periodicals and Microforms Reference Desk Rm 100,ma,1000
maln,maln,SASB - Noma Scholar Room,Research,SASB - Noma Scholar Room,ma,1000
