id,skos:prefLabel,skos:notation,skos:altLabel,,,,,,,,,,,,,,,,,,,,
10004,Art and Picture Collection,MMPC,Art and Picture Collection,,,,,,,,,,,,,,,,,,,,
10005,Billy Rose Theatre Division,THE,Billy Rose Theatre Division,,,,,,,,,,,,,,,,,,,,
10022,Carl H. Pforzheimer Collection of Shelley and His Circle,CPS,Pforzheimer Collection,,,,,,,,,,,,,,,,,,,,
10026,Children's Center at 42nd St,CHILDCTR,Children's Center at 42nd St,,,,,,,,,,,,,,,,,,,,
10027,"Comm, Marketing, and Business Dev",PBL,"Comm, Marketing, and Business Dev",,,,,,,,,,,,,,,,,,,,
10023,Dorot Jewish Division,JWS,Dorot Jewish Division,,,,,,,,,,,,,,,,,,,,
10028,Dorothy and Lewis B. Cullman Center for Scholars & Writers,EPE/CSW,Dorothy and Lewis B. Cullman Center for Scholars & Writers,,,,,,,,,,,,,,,,,,,,
10043,"External, not an NYPL item, it comes from some other institution. (LEGACY; Please do not use) ",EXTERNAL,"External, not NYPL",,,,,,,,,,,,,,,,,,,,
10021,General Research Division,GRD,General Research Division,,,,,,,,,,,,,,,,,,,,
10020,George Arents Collection,ARN,George Arents Collection,,,,,,,,,,,,,,,,,,,,
10002,Henry W. and Albert A. Berg Collection of English and American Literature,BRG,Berg Collection,,,,,,,,,,,,,,,,,,,,
10016,"Irma and Paul Milstein Division of United States History, Local History and Genealogy",LHG,Milstein Division,,,,,,,,,,,,,,,,,,,,
10006,Jerome Robbins Dance Division,DAN,Jerome Robbins Dance Division,,,,,,,,,,,,,,,,,,,,
10080,Jerome Robbins Dance Division - Audio and Moving Image,DAN_MIA,Jerome Robbins Dance Division - Audio and Moving Image,,,,,,,,,,,,,,,,,,,,
10015,Lionel Pincus and Princess Firyal Map Division,MAP,Map Division,,,,,,,,,,,,,,,,,,,,
10017,Manuscripts and Archives Division,MSS,Manuscripts and Archives Division,,,,,,,,,,,,,,,,,,,,
10007,Music Division,MUS,Music Division,,,,,,,,,,,,,,,,,,,,
10100,New York Public Library Archives,NYPLA,NYPL Archives,,,,,,,,,,,,,,,,,,,,
10044,"No Division, NYPL item, but not associated with any one Division, e.g. NYPL Art Work",NO_DIV,No Division,,,,,,,,,,,,,,,,,,,,
10025,Rare Book Division,RBK,Rare Book Division,,,,,,,,,,,,,,,,,,,,
10040,Reference and Research Services,RRS,Reference and Research Services,,,,,,,,,,,,,,,,,,,,
10120,Reserve Film and Video Collection,MYA,Reserve Film and Video Collection,,,,,,,,,,,,,,,,,,,,
10001,Rodgers and Hammerstein Archives of Recorded Sound,RHA,Rodgers and Hammerstein Archives of Recorded Sound,,,,,,,,,,,,,,,,,,,,
10011,"Schomburg Center for Research in Black Culture, Art and Artifacts Division",SCF,Schomburg Art and Artifacts Division,,,,,,,,,,,,,,,,,,,,
10010,"Schomburg Center for Research in Black Culture, Jean Blackwell Hutson Research and Reference Division",SCR,Schomburg Jean Blackwell Hutson Research and Reference Division,,,,,,,,,,,,,,,,,,,,
10009,"Schomburg Center for Research in Black Culture, Manuscripts, Archives and Rare Books Division",SCM,"Schomburg Manuscripts, Archives and Rare Books Division",,,,,,,,,,,,,,,,,,,,
10013,"Schomburg Center for Research in Black Culture, Moving Image and Recorded Sound Division",SCL,Schomburg Moving Image and Recorded Sound Division,,,,,,,,,,,,,,,,,,,,
10012,"Schomburg Center for Research in Black Culture, Photographs and Prints Division",SCG,Schomburg Photographs and Prints Division,,,,,,,,,,,,,,,,,,,,
10042,"Science, Industry and Business Library: General Collection ",BG,SIBL: General collection,,,,,,,,,,,,,,,,,,,,
10003,Slavic and East European Collections,[HV],Slavic and East European Collections,,,,,,,,,,,,,,,,,,,,
10019,Spencer Collection,SPN,Spencer Collection,,,,,,,,,,,,,,,,,,,,
10024,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Art & Architecture Collection",ART,Wallach Division: Art & Architecture Collection,,,,,,,,,,,,,,,,,,,,
10014,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection",PHG,Wallach Division: Photography Collection,,,,,,,,,,,,,,,,,,,,
10018,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection",PRN,Wallach Division: Print Collection,,,,,,,,,,,,,,,,,,,,
10008,Theatre on Film and Tape Archive,TOFT,Theatre on Film and Tape Archive,,,,,,,,,,,,,,,,,,,,
10000,Unknown,unk,Unknown,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
