constant, value
GUTENBERG, "Gutenberg"
OVERDRIVE, "Overdrive"
PROJECT_GITENBERG, "Project GITenberg"
STANDARD_EBOOKS, "Standard Ebooks"
UNGLUE_IT, "unglue.it"
BIBLIOTHECA, "Bibliotheca"
OCLC, "OCLC Classify"
OCLC_LINKED_DATA, "OCLC Linked Data"
AMAZON, "Amazon"
XID, "WorldCat xID"
AXIS_360, "Axis 360"
WEB, "Web"
OPEN_LIBRARY, "Open Library"
CONTENT_CAFE, "Content Cafe"
VIAF, "VIAF"
GUTENBERG_COVER_GENERATOR, "Gutenberg Illustrated"
GUTENBERG_EPUB_GENERATOR, "Project Gutenberg EPUB Generator"
METADATA_WRANGLER, "Library Simplified metadata wrangler"
MANUAL, "Manual intervention"
NOVELIST, "NoveList Select"
NYT, "New York Times"
NYPL_SHADOWCAT, "NYPL Shadowcat"
LIBRARY_STAFF, "Library staff"
ADOBE, "Adobe DRM"
PLYMPTON, "Plympton"
ONECLICK, "OneClick"
ELIB, "eLiburutegia"
OA_CONTENT_SERVER, "Library Simplified Open Access Content Server"
PRESENTATION_EDITION, "Presentation edition generator"
INTERNAL_PROCESSING, "Library Simplified Internal Process"
FEEDBOOKS, "FeedBooks"
THREEM, "3M" (deprecated, now BIBLIOTHECA)
