constant, value, description, open_access
IN_COPYRIGHT, "http://librarysimplified.org/terms/rights-status/in-copyright", "In Copyright",f
PUBLIC_DOMAIN_USA, "http://librarysimplified.org/terms/rights-status/public-domain-usa", "Public domain in the USA",t
PUBLIC_DOMAIN_UNKNOWN, "http://librarysimplified.org/terms/rights-status/public-domain-unknown",f
CC0, https://creativecommons.org/publicdomain/zero/1.0/,Creative Commons Public Domain Dedication (CC0),t
CC_BY, http://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution (CC BY),t
CC_BY_SA, https://creativecommons.org/licenses/by-sa/4.0,Creative Commons Attribution-ShareAlike (CC BY-SA),t
CC_BY_ND, https://creativecommons.org/licenses/by-nd/4.0,Creative Commons Attribution-NoDerivs (CC BY-ND),t
CC_BY_NC, https://creativecommons.org/licenses/by-nc/4.0,Creative Commons Attribution-NonCommercial (CC BY-NC),t
CC_BY_NC_SA, https://creativecommons.org/licenses/by-nc-sa/4.0,Creative Commons Attribution-NonCommercial-ShareAlike (CC BY-NC-SA),t
CC_BY_NC_ND, https://creativecommons.org/licenses/by-nc-nd/4.0,Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND),t
GENERIC_OPEN_ACCESS, http://librarysimplified.org/terms/rights-status/generic-open-access,Open access with no specific license,t
UNKNOWN, http://librarysimplified.org/terms/rights-status/unknown,Unknown,f
